datetime,melatonin
2024-06-05 05:19:20.39,17.15
2024-06-05 06:03:49.64,15.491
2024-06-05 06:48:53.35,12.097
2024-06-05 08:20:39.64,5.164
2024-06-05 09:02:40.33,3.05
2024-06-05 09:48:20.61,1.375
2024-06-05 10:32:48.81,0.722
2024-06-05 12:03:04.07,0.804
2024-06-05 12:46:41.62,0.1
2024-06-05 13:33:01.61,0.626
2024-06-05 14:18:17.5,0.536
2024-06-05 15:49:26.48,0.1
2024-06-05 16:34:37.09,0.1
2024-06-05 17:19:14.66,0.1
2024-06-05 18:05:26.32,0.1
2024-06-05 19:33:45.17,0.1
2024-06-05 20:17:36.04,0.109
2024-06-05 21:03:19.05,0.121
2024-06-05 21:52:57.25,2.014
2024-06-05 23:19:02.46,9.87
2024-06-06 00:02:12.22,13.598
2024-06-06 00:47:44.57,15.277
2024-06-06 01:31:58.86,15.322
